Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Immigration status,Native-born,2018,gs1datot,735.9454926612924,6.999917581632463,634.9768152717484,836.9141700508364,1261,Total amount of donations,Average total amount of donations,PR,NA
Immigration status,Naturalized,2018,gs1datot,778.5873244066005,21.730370995415033,446.98118619018913,1110.1934626230118,161,Total amount of donations,Average total amount of donations,PR,*
Immigration status,Non-Canadian,2018,gs1datot,1309.4670346579048,61.82661933128713,-277.318236876386,2896.2523061921956,24,Total amount of donations,Average total amount of donations,PR,...
Immigration status,Unknown,2018,gs1datot,867.836475340721,18.759139341234086,548.7569774291993,1186.9159732522426,153,Total amount of donations,Average total amount of donations,PR,*
Immigration status,Native-born,2018,gs1datot,248.375557143025,9.490168215419262,202.1767400421684,294.5743742438816,1221,Total amount of donations,Average total amount of donations,QC,NA
Immigration status,Naturalized,2018,gs1datot,305.4780028168828,16.734775741272227,205.28256889309293,405.6734367406726,148,Total amount of donations,Average total amount of donations,QC,*
Immigration status,Non-Canadian,2018,gs1datot,175.77437125702906,36.45738132622698,50.17452293233772,301.3742195817204,32,Total amount of donations,Average total amount of donations,QC,...
Immigration status,Unknown,2018,gs1datot,219.34713082534515,17.602110745864934,143.67346059626652,295.02080105442377,108,Total amount of donations,Average total amount of donations,QC,*
Age group,15 to 24 years,2018,gs1datot,217.5504789798409,15.32960677694939,152.1863994630114,282.9145584966704,362,Total amount of donations,Average total amount of donations,CA (without QC),NA
Age group,25 to 34 years,2018,gs1datot,531.9735563075664,13.154421587392212,394.8191097119435,669.1280029031892,1139,Total amount of donations,Average total amount of donations,CA (without QC),NA
Age group,35 to 44 years,2018,gs1datot,682.2149573061512,7.610855021336733,580.4489402994435,783.9809743128588,1616,Total amount of donations,Average total amount of donations,CA (without QC),NA
Age group,45 to 54 years,2018,gs1datot,662.7155413608557,7.480341853860804,565.5534862648117,759.8775964568997,1750,Total amount of donations,Average total amount of donations,CA (without QC),NA
Age group,55 to 64 years,2018,gs1datot,821.2652308258718,5.479747029811393,733.0604677364885,909.469993915255,2347,Total amount of donations,Average total amount of donations,CA (without QC),NA
Age group,65 to 74 years,2018,gs1datot,763.9181117077308,5.323588881841239,684.2105714433627,843.6256519720988,2139,Total amount of donations,Average total amount of donations,CA (without QC),NA
Age group,75 years and over,2018,gs1datot,906.0954243338648,7.393031317094717,774.8015167063807,1037.389331961349,1292,Total amount of donations,Average total amount of donations,CA (without QC),NA
Gender,Male gender,2018,gs1datot,671.6071911874733,4.41126947472458,613.5405082867844,729.6738740881622,4476,Total amount of donations,Average total amount of donations,CA (without QC),NA
Gender,Female gender,2018,gs1datot,659.6842220257789,4.428451549178641,602.4262337201083,716.9422103314496,6169,Total amount of donations,Average total amount of donations,CA (without QC),NA
Education,Less than High School,2018,gs1datot,394.1158330310593,12.664736542943386,296.2867161193481,491.9449499427705,798,Total amount of donations,Average total amount of donations,CA (without QC),NA
Education,Graduated from High school,2018,gs1datot,424.38890863961944,6.930478307272173,366.7420926794489,482.03572459979,2155,Total amount of donations,Average total amount of donations,CA (without QC),NA
Education,Post-secondary diploma,2018,gs1datot,624.1720255895301,6.326889363096419,546.7717278151827,701.5723233638776,3383,Total amount of donations,Average total amount of donations,CA (without QC),NA
Education,University Diploma,2018,gs1datot,935.0459342780788,4.561566605928234,851.4480939835269,1018.6437745726307,3321,Total amount of donations,Average total amount of donations,CA (without QC),NA
Marital status,Married,2018,gs1datot,773.7848534588898,3.988999999375035,713.2880606347886,834.2816462829909,5896,Total amount of donations,Average total amount of donations,CA (without QC),NA
Marital status,Living common-law,2018,gs1datot,331.3942068094512,11.888268516918297,254.17744072788338,408.610972891019,762,Total amount of donations,Average total amount of donations,CA (without QC),NA
Marital status,Widowed,2018,gs1datot,1095.9644570075432,9.322663625032666,895.7089004556167,1296.2200135594696,1008,Total amount of donations,Average total amount of donations,CA (without QC),NA
Marital status,Separated,2018,gs1datot,579.0635762398184,16.343864016098202,393.56991239596715,764.5572400836697,329,Total amount of donations,Average total amount of donations,CA (without QC),NA
Marital status,Divorced,2018,gs1datot,646.8004131272527,8.773063383630701,535.583804785974,758.0170214685313,883,Total amount of donations,Average total amount of donations,CA (without QC),NA
Marital status,"Single, never married",2018,gs1datot,423.05801646954677,8.585031588010509,351.8727824139017,494.24325052519185,1767,Total amount of donations,Average total amount of donations,CA (without QC),NA
Labour force status,Employed,2018,gs1datot,667.4146420778728,4.381698097380198,610.0972697572097,724.732014398536,5670,Total amount of donations,Average total amount of donations,CA (without QC),NA
Labour force status,Unemployed,2018,gs1datot,358.6510716707289,20.938850161631247,211.46285175808035,505.83929158337753,186,Total amount of donations,Average total amount of donations,CA (without QC),*
Labour force status,Not in labour force,2018,gs1datot,684.4027422187288,4.573010998102623,623.0601565848099,745.7453278526477,3836,Total amount of donations,Average total amount of donations,CA (without QC),NA
Labour force status,Unable to determine,2018,gs1datot,696.0885698677548,13.508926065071131,511.78513965710766,880.3920000784019,953,Total amount of donations,Average total amount of donations,CA (without QC),NA
Personal income category,"Less than $25,000",2018,gs1datot,445.50435106886,5.051090743955622,401.39961659871085,489.60908553900913,2653,Total amount of donations,Average total amount of donations,CA (without QC),NA
Personal income category,"$25,000 to $49,999",2018,gs1datot,591.0720299953833,6.98065603492897,510.2025335666698,671.9415264240969,3120,Total amount of donations,Average total amount of donations,CA (without QC),NA
Personal income category,"$50,000 to $74,999",2018,gs1datot,670.6695104660268,6.144456619429669,589.9013602515728,751.4376606804809,2243,Total amount of donations,Average total amount of donations,CA (without QC),NA
Personal income category,"$75,000 to $99,999",2018,gs1datot,990.7807237168118,11.791601281763803,761.8002628300011,1219.7611846036227,1328,Total amount of donations,Average total amount of donations,CA (without QC),NA
Personal income category,"$100,000 to $124,999",2018,gs1datot,940.7823035471927,10.962795572498012,738.639378227708,1142.9252288666773,579,Total amount of donations,Average total amount of donations,CA (without QC),NA
Personal income category,"$125,000 and more",2018,gs1datot,1546.58157553935,8.858418289470933,1278.061286060985,1815.1018650177152,722,Total amount of donations,Average total amount of donations,CA (without QC),NA
Frequency of religious attendance,At least once a week,2018,gs1datot,1600.9751101782667,5.31873504178203,1434.0809935304678,1767.8692268260656,1994,Total amount of donations,Average total amount of donations,CA (without QC),NA
Frequency of religious attendance,At least once a month,2018,gs1datot,804.0874091474917,8.845508522160127,664.6837549779752,943.4910633170082,950,Total amount of donations,Average total amount of donations,CA (without QC),NA
Frequency of religious attendance,At least 3 times a year,2018,gs1datot,575.7584898211612,10.008633389997689,462.81447457442687,688.7025050678956,923,Total amount of donations,Average total amount of donations,CA (without QC),NA
Frequency of religious attendance,Once or twice a year,2018,gs1datot,399.70122653691703,9.565616313604625,324.76418751456265,474.6382655592714,1366,Total amount of donations,Average total amount of donations,CA (without QC),NA
Frequency of religious attendance,Not at all,2018,gs1datot,345.5853209733627,4.2128913880587024,317.04994224494186,374.1206997017835,4530,Total amount of donations,Average total amount of donations,CA (without QC),NA
Immigration status,Native-born,2018,gs1datot,658.3696772050084,3.6090047231389706,611.7997711714394,704.9395832385775,7990,Total amount of donations,Average total amount of donations,CA (without QC),NA
Immigration status,Naturalized,2018,gs1datot,691.6514634215765,6.991349353290821,596.8758955515746,786.4270312915785,1607,Total amount of donations,Average total amount of donations,CA (without QC),NA
Immigration status,Non-Canadian,2018,gs1datot,469.28347819899676,20.21747394511008,283.3274559774983,655.2395004204952,169,Total amount of donations,Average total amount of donations,CA (without QC),*
Immigration status,Unknown,2018,gs1datot,715.7869947563358,14.208908229735421,516.4478440049118,915.1261455077599,879,Total amount of donations,Average total amount of donations,CA (without QC),NA
