Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Frequency of religious attendance,At least once a month,2018,gs1dntot,4.1379610937215094,3.4092993795655295,3.8614582301058524,4.4144639573371665,950,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,At least 3 times a year,2018,gs1dntot,3.9065449217412125,3.2836215924654604,3.655128282629319,4.157961560853106,923,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,Once or twice a year,2018,gs1dntot,3.639737504726851,3.1066140767768267,3.418119285636507,3.8613557238171956,1366,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,Not at all,2018,gs1dntot,3.292466974328864,1.506715890294749,3.195236839741791,3.3896971089159367,4530,Total number of donations,Average total number of donations,CA (without QC),NA
Immigration status,Native-born,2018,gs1dntot,3.794872978308219,1.1956477290571934,3.7059429197808766,3.8838030368355616,7990,Total number of donations,Average total number of donations,CA (without QC),NA
Immigration status,Naturalized,2018,gs1dntot,3.4394032220406285,2.4753358920572452,3.272538194722626,3.606268249358631,1607,Total number of donations,Average total number of donations,CA (without QC),NA
Immigration status,Non-Canadian,2018,gs1dntot,3.1524901680152144,8.764051258927589,2.6109798442326206,3.694000491797808,169,Total number of donations,Average total number of donations,CA (without QC),NA
Immigration status,Unknown,2018,gs1dntot,4.034428969786054,3.1907427143201836,3.7821262390941013,4.286731700478008,879,Total number of donations,Average total number of donations,CA (without QC),NA
Age group,15 to 24 years,2018,gs1dntot,2.4103970033431326,6.0947413621050615,2.1224636665017456,2.6983303401845196,406,Total number of donations,Average total number of donations,CA,NA
Age group,25 to 34 years,2018,gs1dntot,2.992360466893593,2.8390556939990677,2.8258521573472506,3.158868776439935,1293,Total number of donations,Average total number of donations,CA,NA
Age group,35 to 44 years,2018,gs1dntot,3.5254591006826073,2.0677593715018494,3.382581624690055,3.6683365766751597,1870,Total number of donations,Average total number of donations,CA,NA
Age group,45 to 54 years,2018,gs1dntot,3.846553798067197,2.350268028320123,3.6693645787686218,4.0237430173657724,1954,Total number of donations,Average total number of donations,CA,NA
Age group,55 to 64 years,2018,gs1dntot,4.147554382828623,2.0572727807452758,3.980317501428332,4.314791264228915,2701,Total number of donations,Average total number of donations,CA,NA
Age group,65 to 74 years,2018,gs1dntot,4.317722519805206,2.217139923335242,4.13009526602312,4.505349773587292,2439,Total number of donations,Average total number of donations,CA,NA
Age group,75 years and over,2018,gs1dntot,4.099433413216536,2.6084089108671353,3.8898544909161865,4.3090123355168855,1491,Total number of donations,Average total number of donations,CA,NA
Gender,Male gender,2018,gs1dntot,3.4684383334932427,1.4130833134022793,3.372376728960772,3.5644999380257136,5149,Total number of donations,Average total number of donations,CA,NA
Gender,Female gender,2018,gs1dntot,3.816226503062625,1.283601769522175,3.720217371477685,3.9122356346475646,7005,Total number of donations,Average total number of donations,CA,NA
